date,type,category,vendor,description,amount_thb,amount_usd,currency,source_file,notes
2025-10-01,income,Sales,,Cinnamon Roll,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-01,income,Sales,,Iced Latte,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-01,expense,Other,GreenLeaf Pastry,Mixed pastries,-3780.0,-118.12,THB,supplier_invoices.csv,inv INV1001
2025-10-01,expense,Payroll,,Payroll — Pim (s001),-18000.0,-562.5,THB,staff_payroll.csv,
2025-10-01,expense,Payroll,,Payroll — Niran (s002),-17000.0,-531.25,THB,staff_payroll.csv,
2025-10-01,expense,Payroll,,Payroll — Maya (s003),-18500.0,-578.12,THB,staff_payroll.csv,cash extra ฿2000 (เงินสด)
2025-10-01,expense,Payroll,,Payroll — Boom (s004),-16500.0,-515.62,THB,staff_payroll.csv,
2025-10-01,expense,Rent & Utilities,,Insurance (annual),-24000,-750.0,THB,rent_utilities.txt,annual
2025-10-03,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Cappuccino/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Latte/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,expense,Coffee Beans,Beans Doi Chaang 5kg,Beans Doi Chaang 5kg,-2600.0,-81.25,THB,expenses_2025.csv,
2025-10-05,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Mocha/M,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5200.0,-162.5,THB,supplier_invoices.csv,inv INV1002
2025-10-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-10-06,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Mocha,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,inv INV1003
2025-10-07,income,Sales,,Croissant,-65.0,-2.03,THB,pos_export_oct2025-mar2026.csv,void
2025-10-08,income,Sales,,Latte,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Mocha/M,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Latte/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,income,Sales,,Latte,-90.0,-2.81,THB,pos_export_oct2025-mar2026.csv,void
2025-10-08,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,expense,Dairy & Pastry,,Milk delivery weekly,-4200.0,-131.25,THB,expenses_2025.csv,
2025-10-08,expense,Other,GreenLeaf Pastry,Mixed pastries,-4500.0,-140.62,THB,supplier_invoices.csv,inv INV1004
2025-10-09,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Americano,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Latte,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
