date,type,category,vendor_or_party,description,amount_thb,amount_usd,currency_original,source_file,notes
2025-10-01,memo,Sales,Lina's headline,Monthly revenue summary 2025-10,850000,26562.5,THB,monthly_revenue.txt,"Lina's own monthly summary — memo only, not summed"
2025-10-01,refund,Sales,Customer,Cinnamon Roll,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-01,refund,Sales,Customer,Iced Latte L,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-01,expense,Dairy & Pastry,GreenLeaf Pastry,INV1001 Mixed pastries,-3780.0,-118.12,THB,supplier_invoices.csv,paid
2025-10-03,expense,Coffee Beans,,Beans Highland 5kg,-2600.0,-81.25,THB,expenses_2025.csv,
2025-10-03,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-03,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,24795.0,774.84,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-05,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,14029.0,438.41,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-05,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-05,expense,Rent & Utilities,NK Property,Rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-10-05,expense,Coffee Beans,Highland Beans Co.,INV1002 Specialty coffee beans,-5200.0,-162.5,THB,supplier_invoices.csv,paid
2025-10-06,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-06,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1003 Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,paid
2025-10-07,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,9782.0,305.69,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
